ts,pressure,flow,grams,t1_in,t1_out,t_final,pot,pulses_batch,pulses_total,encoder,limit_top,limit_bottom,btn1,btn2,btn3,led1,led2,led3,pid1,pid2,pid3,emergency
10619,9.8,12.48,11.4,93.8,92.3,72.0,45.0,0,1061,106,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10639,9.82,12.49,11.41,93.82,92.32,72.02,45.0,0,1063,106,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10660,9.85,12.5,11.42,93.85,92.35,72.05,45.0,0,1066,106,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10681,9.87,12.0,11.43,93.87,92.37,72.07,45.0,0,1068,106,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10701,9.89,12.01,11.44,93.89,92.39,72.09,45.0,0,1070,107,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10722,9.91,12.02,11.45,93.91,92.41,72.11,45.0,0,1072,107,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10743,9.93,12.02,11.46,93.93,92.43,72.13,45.0,0,1074,107,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10763,9.95,12.03,11.47,93.95,92.45,72.15,45.0,0,1076,107,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10784,9.97,12.04,11.48,93.97,92.47,72.17,45.0,0,1078,107,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10804,9.99,12.05,11.49,93.99,92.49,72.19,45.0,0,1080,108,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10825,9.01,12.05,11.5,94.01,92.51,72.21,45.0,0,1082,108,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10845,9.03,12.06,11.52,94.03,92.53,72.23,45.0,0,1084,108,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10866,9.05,12.07,11.53,94.05,92.55,72.25,45.0,0,1086,108,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10887,9.07,12.08,11.54,94.07,92.57,72.27,45.0,0,1088,108,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10907,9.09,12.08,11.55,94.09,92.59,72.29,45.0,0,1090,109,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10928,9.11,12.09,11.56,94.11,92.61,72.31,45.0,0,1092,109,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10949,9.13,12.1,11.57,94.13,92.63,72.33,45.0,0,1094,109,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10969,9.15,12.1,11.58,94.15,92.65,72.35,45.0,0,1096,109,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
10990,9.17,12.11,11.59,94.17,92.67,72.37,45.0,0,1099,109,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11011,9.2,12.12,11.6,94.2,92.7,72.4,45.0,0,1101,110,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11031,9.22,12.13,11.61,94.22,92.72,72.42,45.0,0,1103,110,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11052,9.24,12.13,11.62,94.24,92.74,72.44,45.0,0,1105,110,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11072,9.26,12.14,11.63,94.26,92.76,72.46,45.0,0,1107,110,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11093,9.28,12.15,11.64,94.28,92.78,72.48,45.0,0,1109,110,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11114,9.3,12.15,11.65,94.3,92.8,72.5,45.0,0,1111,111,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11134,9.32,12.16,11.66,94.32,92.82,72.52,45.0,0,1113,111,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11155,9.34,12.17,11.67,94.34,92.84,72.54,45.0,0,1115,111,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11175,9.36,12.18,11.68,94.36,92.86,72.56,45.0,0,1117,111,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11196,9.38,12.18,11.69,94.38,92.88,72.58,45.0,0,1119,111,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11217,9.4,12.19,11.7,94.4,92.9,72.6,45.0,0,1121,112,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11237,9.42,12.2,11.71,94.42,92.92,72.62,45.0,0,1123,112,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11258,9.44,12.2,11.72,94.44,92.94,72.64,45.0,0,1125,112,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11278,9.46,12.21,11.73,94.46,92.96,72.66,45.0,0,1127,112,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11299,9.48,12.22,11.74,94.48,92.98,72.68,45.0,0,1129,112,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11319,9.5,12.23,11.75,94.5,93.0,72.7,45.0,0,1131,113,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11340,9.52,12.23,11.76,94.52,93.02,72.72,45.0,0,1134,113,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11360,9.55,12.24,11.77,94.55,93.05,72.75,45.0,0,1136,113,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11381,9.57,12.25,11.78,94.57,93.07,72.77,45.0,0,1138,113,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11401,9.59,12.26,11.79,94.59,93.09,72.79,45.0,0,1140,114,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11422,9.61,12.26,11.8,94.61,93.11,72.01,45.0,0,1142,114,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11442,9.63,12.27,11.81,94.63,93.13,72.03,45.0,0,1144,114,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11463,9.65,12.28,11.82,94.65,93.15,72.05,45.0,0,1146,114,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11484,9.67,12.28,11.83,94.67,93.17,72.07,45.0,0,1148,114,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11504,9.69,12.29,11.84,94.69,93.19,72.09,45.0,0,1150,115,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11525,9.71,12.3,11.85,94.71,93.21,72.11,45.0,0,1152,115,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11545,9.73,12.31,11.87,94.73,93.23,72.13,45.0,0,1154,115,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11566,9.75,12.31,11.88,94.75,93.25,72.15,45.0,0,1156,115,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11586,9.77,12.32,11.89,94.77,93.27,72.17,45.0,0,1158,115,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11607,9.79,12.33,11.9,94.79,93.29,72.19,45.0,0,1160,116,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11627,9.81,12.33,11.91,94.81,93.31,72.21,45.0,0,1162,116,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11648,9.83,12.34,11.92,94.83,93.33,72.23,45.0,0,1164,116,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11668,9.85,12.35,11.93,94.85,93.35,72.25,45.0,0,1166,116,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11689,9.87,12.36,11.94,94.87,93.37,72.27,45.0,0,1168,116,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
11709,9.89,12.36,11.95,94.89,93.39,72.29,45.0,0,1170,117,0,0,0,0,0,1,0,1,120.0,-30.0,5.0,0
