ts,pressure,flow,grams,t1_in,t1_out,t_final,pot,pulses_batch,pulses_total,encoder,limit_top,limit_bottom,btn1,btn2,btn3,led1,led2,led3,pid1,pid2,pid3,emergency
53568,5.308342001881882,1.1394869912677577,25.11397406558432,93.64518041873407,90.29949142220546,87.61568011722986,15.000026099836333,33,127131,36,0,0,0,1,1,1,0,1,146.35250757748196,-17.08299390419736,17.740133513473403,0
53579,5.320464311545536,1.0793482358626574,25.23862064273853,93.27585139490701,89.67564606658267,87.82516930809564,15.000177997351425,16,127147,37,0,0,0,0,1,1,0,1,143.4454500635825,-26.276784273944678,17.965303241876452,0
53590,5.566466330003099,1.1053482074662817,25.065102044896,93.60351854593306,89.7464980275667,88.12242601929304,15.000475779221514,37,127184,39,0,0,0,1,1,1,0,1,144.8664155493537,-18.68168210216743,16.298690714049503,0
53600,5.184873437222272,1.1459809332157158,25.0404140429183,93.4678592771803,90.15271847405947,87.97118583147122,15.000905117060562,18,127202,40,0,0,0,1,1,1,0,1,136.6837968394167,-24.90745171171678,16.189160005566254,0
53611,5.652334148965021,1.0429023849378052,25.214733188550664,93.41364945550112,90.46536661014753,87.81067117711275,15.001476534783887,49,127251,38,0,0,0,0,1,1,0,1,141.44526431254548,-17.09926618778808,14.964029290985014,0
53622,5.486703370371286,0.9664250352321173,25.12367579325467,93.46945370848997,89.8970278074312,87.50079660719413,15.002166141144286,22,127273,38,0,0,0,1,1,1,0,1,135.9178481072728,-20.238932249654184,16.650930585389773,0
53632,5.5554677258408045,1.1156332530649342,24.94056186153489,93.38451972738204,89.92126156673598,87.94680352385063,15.00301104962455,24,127297,37,0,0,0,0,1,1,0,1,137.11477759374418,-16.520024063822,18.53834339332952,0
53643,5.64299542292929,1.0265546870516729,25.207389911475357,93.06231031534182,89.77685001116838,87.35983255108701,15.003973273946777,28,127325,36,0,0,0,1,1,1,0,1,127.02636256051088,-20.29090460371488,15.5729097592757,0
53654,5.509320706316473,1.0211451149981532,25.147867255961195,93.04151468086039,90.4720209058348,87.49139683088181,15.005094200195806,48,127373,35,0,0,0,0,1,1,0,1,143.88450263271585,-25.804282716847467,17.882239360157676,0
53664,5.238004319963376,1.0647768412435856,25.27238358136747,93.73876578501138,89.74781026766728,87.58057710324826,15.006303092038163,49,127422,37,0,0,0,1,1,1,0,1,130.24573491460873,-19.938557483738087,18.725644171068403,0
53675,5.325290601151626,0.9669515495067428,24.992746068589575,93.31080547080465,89.6073922291821,88.12647176136946,15.007706913732502,41,127463,36,0,0,0,0,1,1,0,1,136.2920322160288,-24.016335419825072,16.22711106157245,0
53685,5.5385033592655715,0.9986352591137391,25.22417807515079,93.46898167011986,89.70277069917461,87.858004169529,15.009214791588011,29,127492,38,0,0,0,0,1,1,0,1,135.21885608107266,-25.953704045519878,19.116657995804434,0
53696,5.195107185455939,1.1247674861042776,25.082285352009578,92.96881049836098,89.85718804650227,87.87628279448674,15.010877724415657,50,127542,37,0,0,0,1,1,1,0,1,145.16853160940704,-16.898694331903574,18.564984434601364,0
53707,5.112361970504321,1.0743077210887135,25.217622510828576,93.8531482757888,90.5200278800667,88.14289344615099,15.012688646079788,39,127581,37,0,0,0,0,1,1,0,1,138.86865217815756,-20.02257810697228,17.13728133066629,0
53718,5.663778311908734,1.0352905457611583,24.936246686222756,93.48058380886829,90.02887138097557,87.53293664153632,15.014612101808495,30,127611,37,0,0,0,0,1,1,0,1,125.06517205319511,-20.56389687807767,16.757724018632338,0
53728,5.360525342903106,1.1070420582920533,25.090395977905402,93.76073036211992,89.87544564995497,87.6007589800727,15.016661146875013,46,127657,36,0,0,0,1,1,1,0,1,133.30209352895517,-17.502939438788346,15.979321322499192,0
53738,5.268084768013747,1.1386977093996609,25.23679328048156,93.63606545417288,90.35979924558204,88.04814098490378,15.018792826807001,35,127692,36,0,0,0,1,1,1,0,1,139.0675511982314,-23.42947788835725,16.945869171679732,0
53749,5.0802490561900795,1.0996687494878647,25.020963397984612,93.70549387903178,90.16955456970663,87.28833404881725,15.021110979001378,8,127700,34,0,0,0,1,1,1,0,1,144.09225011722486,-19.397198370716968,15.501421363248877,0
53760,5.377784725713211,1.1406814254510687,24.944969017646017,93.50571979271896,90.15152700240837,88.17042924110174,15.023581043789548,43,127743,33,0,0,0,0,1,1,0,1,136.49242035199447,-18.264989261440114,19.6429070994041,0
53770,5.539986002387838,0.9873204939309114,25.010572122912105,93.73269334321257,89.96993073344163,87.21015393094517,15.02619831145017,12,127755,35,0,0,0,1,1,1,0,1,132.86282363674204,-21.755169498129582,18.817569215050085,0
53781,5.629753707756476,1.0471889572950088,25.306508123210687,92.98509397847478,89.75346482655392,87.64893973498896,15.02893807933437,32,127787,37,0,0,0,0,1,1,0,1,126.42597316378935,-17.540653106585843,15.486440226416596,0
53792,5.227778989183887,1.0067649799492424,25.190288391536996,93.25874857673323,89.56521157991875,87.38516366376373,15.03176850864876,38,127825,39,0,0,0,1,1,1,0,1,125.22440692167608,-22.70291013075735,17.583938153598968,0
53802,5.406245570067162,1.1072504215070889,24.963168921686513,93.01881523701508,89.81327863330874,88.13726291937887,15.034815735471721,2,127827,39,0,0,0,1,1,1,0,1,141.46895762528771,-23.064476292349703,19.95964564029155,0
53813,5.3486594300452825,1.1303882067739743,25.139735211230644,93.49731525507325,89.66733042137773,87.48828346035957,15.037863827478358,37,127864,40,0,0,0,0,1,1,0,1,125.54236299492689,-21.49777120390756,17.62016153049187,0
53823,5.394299910041074,1.049205933676868,25.090215033071274,93.2649058137777,90.22894659530722,88.02217105215905,15.041080949850635,27,127891,42,0,0,0,1,1,1,0,1,127.9705099641954,-19.963835149702128,18.23694385250364,0
53833,5.447974855713866,0.9824410882368023,25.00103593043327,93.38780622605289,89.71603441911981,87.60330046249197,15.044390387610395,28,127919,40,0,0,0,0,1,1,0,1,138.76829289352293,-23.456662453077747,14.91057471249836,0
53844,5.083257065436375,1.000616419197402,25.207065899090324,92.90008802329072,90.03989875558237,87.89623284257297,15.047906754998863,18,127937,40,0,0,0,1,1,1,0,1,122.7692285927388,-18.984604904878367,17.5863544848365,0
53855,5.475309959887732,1.0094400669526091,24.968814870875388,93.70840850584992,90.43930945094029,87.59639995199274,15.05163132839174,33,127970,41,0,0,0,0,1,1,0,1,132.7684383699856,-20.783599931238463,19.18416661003446,0
53866,5.01532446759748,1.015496311408592,25.270779113975927,93.16908496172765,90.28678427607349,87.1887359836377,15.05550998034057,11,127981,39,0,0,0,0,1,1,0,1,138.3941862514052,-24.439809087774645,20.29104970574233,0
53876,5.260943429774333,0.9443540906310368,25.23694684725203,93.47183496595815,89.65960369110392,88.0618547779811,15.059470242696765,42,128023,38,0,0,0,1,1,1,0,1,137.26544516493945,-19.966537869839872,20.361546443363224,0
53887,5.5661246455229385,1.0939414184571405,25.3606863221988,93.52958420740146,90.41376325379143,88.13182491780194,15.063580956955082,47,128070,37,0,0,0,0,1,1,0,1,129.93946749865847,-19.93010404129621,15.035905850288291,0
53898,5.30995054689299,1.1228456094181791,25.13893083049756,93.14373760285902,90.32666165412843,87.59601926322124,15.067868307191159,47,128117,37,0,0,0,0,1,1,0,1,131.44840378514837,-16.12924214436623,16.145015300177935,0
53908,5.444260528086686,0.9754768542675805,25.24805378077608,93.61314953410098,90.38757963627967,87.47179802489282,15.072165604041633,24,128141,38,0,0,0,0,1,1,0,1,136.86143731723035,-22.124306413262637,15.223556881535943,0
53919,5.0477156093845945,1.1138360564276748,25.09658858507732,93.83670665551651,89.56879420554483,87.65092784476654,15.076674038221974,29,128170,39,0,0,0,1,1,1,0,1,140.99711897929654,-17.662773809733395,15.430764432587683,0
53930,5.155161633318033,1.0409413907994907,25.172012331070697,93.68468083112519,90.35622848850907,87.32505515293656,15.08136025755972,45,128215,40,0,0,0,1,1,1,0,1,127.93764891121218,-21.195801521294424,20.61057334221671,0
53941,5.43795134753275,1.0949403730133598,25.028037953339094,93.03276010062413,90.22477278569505,88.12235189834583,15.086190909090945,42,128257,38,0,0,0,0,1,1,0,1,131.410141649368,-21.761810471004928,17.098166390880223,0
53951,5.089888417580483,0.9553439615352619,25.027420870943775,92.86425157870106,90.34020349533215,87.39328229120414,15.091048809681539,38,128295,36,0,0,0,1,1,1,0,1,125.9942004178257,-17.233874831516676,19.663931796403446,0
53962,5.435241278304257,0.9452933890175659,25.188665601367326,93.5934749006617,89.72699442213344,87.29693537079677,15.096157401632095,17,128312,37,0,0,0,0,1,1,0,1,124.26909389145723,-15.987557436915795,20.886042928552797,0
53972,5.088855124032873,1.1159239020834224,25.060250568607373,93.10911440696908,89.72187038532154,87.64879365130099,15.10126445682424,43,128355,37,0,0,0,1,1,1,0,1,126.98319543560622,-21.28955818371024,15.188531929599657,0
53983,4.957714507450072,1.0511595403595195,25.036736712926484,92.93359492178934,90.1841361890674,88.11558166130787,15.106538105356883,40,128395,36,0,0,0,1,1,1,0,1,123.87370253492801,-18.21515774542484,18.229823924596076,0
53994,5.045972314378427,0.9672723018952809,25.19274760696834,93.2114255733672,89.70517347997333,87.56806187797824,15.11199389385354,1,128396,37,0,0,0,0,1,1,0,1,125.87337675565816,-21.901214484989676,17.959545134045246,0
54004,5.019300583036195,1.0748216682346223,25.08549209557185,92.89731574233973,90.05826197474916,88.11598553939405,15.117529603177758,20,128416,39,0,0,0,1,1,1,0,1,121.3262007446821,-24.537659558895825,20.16054117554597,0
54015,5.42089308560666,0.9975974477421311,25.035473531675805,93.78340898225014,90.3061174078814,87.6612658389457,15.123326304901418,2,128418,41,0,0,0,0,1,1,0,1,123.65144985861104,-18.183157634049117,19.017296961978698,0
54026,4.903755955942137,0.9248835766417851,25.15996615949237,93.06552411876577,89.62668700367274,87.76359482896584,15.129278559078575,7,128425,41,0,0,0,0,1,1,0,1,122.81033885303748,-16.057036085193793,16.26966363022323,0
54037,4.895466993667117,1.0545019631875998,25.03630424762103,93.5674999862581,89.51505327232357,87.3562513615112,15.13548428366817,49,128474,41,0,0,0,1,1,1,0,1,119.41308045370184,-23.93552135269012,21.04541366158442,0
54048,4.905779846211814,1.001696006687132,25.389228500636047,93.82552272643031,89.84228188154579,87.72972197856453,15.141706795639216,28,128502,43,0,0,0,1,1,1,0,1,138.6364446398674,-23.19852757429346,18.58808989136073,0
54058,5.030926319153979,0.9900575300791907,25.371706524672227,93.57228802227189,89.67692666769777,87.62772009764566,15.14801445233094,50,128552,42,0,0,0,1,1,1,0,1,128.64148306046212,-20.13633047731782,20.301987365267756,0
54069,5.1552741554832675,0.9566620426209772,25.395533008858795,93.78901277643949,90.47311409649602,87.91781688847638,15.154475922835353,21,128573,42,0,0,0,1,1,1,0,1,125.75398835024922,-16.506400323053988,16.836388540126286,0
54080,5.182626216579258,1.0281508927463863,25.363309012559373,93.55262013379888,90.43099318577457,87.82493514715448,15.160982705044841,28,128601,42,0,0,0,0,1,1,0,1,130.64101892749076,-20.597439046471788,19.14916338817844,0
54090,5.404321494555119,1.0578950431691045,25.318526333694848,93.2092137734195,90.01851768403628,88.09504531740419,15.167605072997233,16,128617,40,0,0,0,0,1,1,0,1,120.59486748626902,-24.805419793502338,16.008502788593987,0
54101,4.990961120911116,0.9435689680687294,25.411821834316367,93.08086996928768,89.95641084447556,87.9534456548479,15.17435345634765,39,128656,42,0,0,0,1,1,1,0,1,128.9860097163892,-20.14435267989261,16.506761465476426,0
54112,5.232764931118363,1.042521331176376,25.354402756590304,93.17732202156874,89.7990567516871,87.38751172768097,15.181406121244912,39,128695,40,0,0,0,1,1,1,0,1,133.04351982929072,-21.170298881549655,19.479686611041778,0
54122,5.279975370041744,0.9722493127497742,25.240053598623597,93.7054986968384,89.9892663825454,87.58697973243906,15.188373715602808,25,128720,42,0,0,0,1,1,1,0,1,126.87641750131834,-21.949516728845907,16.865533189531,0
54132,5.130705114579641,0.992949674539883,25.298688980928137,93.4835221088673,90.01546825120943,88.16289042997252,15.195435017520843,35,128755,41,0,0,0,0,1,1,0,1,122.90254645571235,-23.18956887498486,16.27910408390702,0
54143,5.393008112893362,1.0607981049954878,25.244421648802053,93.59771972648741,90.45279191615803,87.51135569623108,15.202617014865737,41,128796,39,0,0,0,0,1,1,0,1,130.29315414047312,-16.27251154676387,18.681976270688963,0
54154,5.1642169283966926,0.9293348741921882,25.18880187659092,93.67020721432199,90.48253262030455,87.31419519703194,15.210234550310545,45,128841,41,0,0,0,0,1,1,0,1,130.9189459283821,-19.706650710778433,21.254563849766775,0
54164,4.863778374589197,0.9401952344148575,25.215057463068646,93.44020683747796,90.09513067335298,87.33107569421408,15.217783564771345,25,128866,39,0,0,0,1,1,1,0,1,120.56188817872007,-23.691257098681582,19.84073978651662,0
54175,4.91008630313976,0.9405098870342856,25.17543422125013,93.38858443839477,89.63263700347603,87.41542433210097,15.225558026338987,33,128899,37,0,0,0,0,1,1,0,1,127.62550228227974,-24.748490731145836,16.67626800158392,0
54185,5.144730369585171,0.9299197410423651,25.412679976130093,93.59119023053206,89.69859258759733,88.00032779575984,15.233361804600076,34,128933,39,0,0,0,0,1,1,0,1,118.03879840936398,-16.53910858021809,18.983358146505523,0
54196,5.221244780424878,1.0479887248614561,25.083823707793652,93.23872485141344,89.8025338683195,87.56946164330023,15.241211403363433,21,128954,37,0,0,0,1,1,1,0,1,126.35576117973261,-23.870376418278063,19.862098224191044,0
54206,4.780710814232513,0.9160449720581848,25.238532380851293,93.7383212710555,90.24634846019666,87.63304675268641,15.249308636506466,21,128975,39,0,0,0,1,1,1,0,1,132.89653980926693,-22.667910660602008,16.5585501303935,0
54217,5.03662746756833,1.0480186884822487,25.22567170802687,93.44967885459842,89.99184736080963,87.59952464177819,15.257608746956993,43,129018,41,0,0,0,1,1,1,0,1,132.0369253609931,-15.365232917406518,21.308853589203668,0
54228,4.790353152970577,0.9098646491490199,25.413031517517588,92.87916000618253,90.42286548275302,87.64686155339551,15.266022884886564,0,129018,41,0,0,0,1,1,1,0,1,118.57418694826023,-22.505766098721665,19.51434160284317,0
54238,5.16403256475173,0.9360086417452289,25.27028086215139,93.12936043820338,89.58790755143794,87.85962827059373,15.274584755828094,2,129020,42,0,0,0,0,1,1,0,1,134.08613703605081,-16.04330101382506,16.60536554470299,0
54249,4.747275399229188,1.018675502071017,25.256439220401344,93.59833763837321,90.29967741619359,87.71454477700307,15.283263165456944,33,129053,43,0,0,0,0,1,1,0,1,133.7357815078261,-21.394925217389527,20.758379904338486,0
54260,4.8449551725917015,0.9855315491166804,25.255415095626184,93.37941513016978,89.86760902525258,87.15738829900383,15.29228207694825,49,129102,43,0,0,0,1,1,1,0,1,122.58635774237077,-19.23459123137197,20.828144627916572,0
54271,5.254562997057323,1.0776074005341865,25.460509594346906,93.63214365546668,90.43919402957191,87.6113254285411,15.30121470671305,29,129131,41,0,0,0,0,1,1,0,1,132.64281277402853,-18.773906583758503,20.52247261212003,0
54281,4.941622687988063,1.0543710588453465,25.19656847380986,92.87128770995696,90.27255263855508,87.9895265062952,15.31048675311126,26,129157,41,0,0,0,0,1,1,0,1,132.14221032015527,-17.37664103201471,18.895762927609674,0
54292,4.70024994701939,1.0110806432710833,25.334578792574938,93.18770247903656,89.4857262221911,87.599545098903,15.319736534371238,17,129174,39,0,0,0,0,1,1,0,1,119.90099656876113,-17.870343816558808,19.956694723071674,0
54302,4.780739660270542,1.0598109493773022,25.38854145583126,93.7195201730744,89.68395159914522,87.22448061441294,15.328880911753576,28,129202,38,0,0,0,1,1,1,0,1,119.12101914021179,-21.160322764755968,15.98405762965699,0
54313,5.012922206715282,0.9128257270561745,25.107461248249106,93.63698314772405,89.87842400530967,87.92822731655323,15.338213681627636,27,129229,40,0,0,0,1,1,1,0,1,124.15386095450464,-22.56559264137578,18.51885458170443,0
54324,5.148960393537938,0.9954172683254674,25.439652428841228,92.86970500036334,90.45996082975049,87.66445016133808,15.348594794156273,4,129233,41,0,0,0,1,1,1,0,1,128.08728322277418,-23.686471905050237,16.241809334838777,0
54335,4.869943470625873,0.9172511818112248,25.32161785674805,92.92191021471025,90.36222145687765,87.33553772554181,15.358257196412442,13,129246,42,0,0,0,0,1,1,0,1,121.8820906739513,-24.48723870760523,15.954102475494683,0
54345,5.205566070499071,0.9783378572577177,25.185530225688566,93.28091432104172,89.95768612185257,88.05546052550767,15.36793562191335,36,129282,41,0,0,0,0,1,1,0,1,126.674985078725,-22.666282751014688,20.75108195847451,0
54356,5.15366260120505,0.8913493805475657,25.254074733007847,93.11787742636768,90.41337291228338,87.81714422940466,15.378237302128426,15,129297,40,0,0,0,0,1,1,0,1,125.93852323649881,-14.90024859916703,18.34970040172887,0
54367,4.923844182471147,1.015541201257278,25.285653235883014,93.47449596319808,90.31065380638418,87.44313191651852,15.388395740031005,43,129340,38,0,0,0,0,1,1,0,1,120.48034593056174,-14.570282707389612,21.451364607846266,0
54377,4.758907358556206,1.0488660576373854,25.423644807613076,92.8222730957311,89.8242744480371,88.13491001064875,15.398667679709511,48,129388,39,0,0,0,0,1,1,0,1,125.9162508729825,-21.727609052454017,21.394995533962444,0
54388,5.212347779693944,0.8836898668681525,25.464842815802694,92.88313609117334,90.08436787333248,87.57308444162058,15.409202507301558,3,129391,39,0,0,0,1,1,1,0,1,122.6731772052738,-16.17027810743997,17.81991746445347,0
54399,4.709553495556817,0.919868037212001,25.293711883592966,93.19405010334015,89.87469716273263,87.95476677540148,15.419520862309227,31,129422,41,0,0,0,1,1,1,0,1,131.35299481165933,-15.469677716430835,20.566686525918648,0
54410,5.014360849403141,1.0056786623296368,25.135289573547865,93.04269641742937,89.55735578301295,87.16975403591437,15.430531421368322,45,129467,43,0,0,0,1,1,1,0,1,118.90775652117104,-24.115746504188856,16.28334203451773,0
54420,4.609406093104793,0.9803303502303202,25.298877990666078,93.18047743871999,89.86489189489973,87.31478861891202,15.44131140771497,27,129494,42,0,0,0,1,1,1,0,1,129.14805161086483,-22.909115557949306,18.843109254883736,0
54431,4.781905257446944,0.9629427521239521,25.48100237644132,93.62301377698073,89.5118400456874,87.62561177146209,15.452046041099045,44,129538,42,0,0,0,1,1,1,0,1,119.02983654531772,-17.199699627359855,17.06128987963528,0
54441,4.742787185827237,1.0141869604838623,25.288611424186758,93.11901450295484,89.94744274090903,87.3032998038356,15.463150275245276,41,129579,42,0,0,0,1,1,1,0,1,118.07927437720173,-16.998042511710317,16.466534092187178,0
54453,4.969422055836768,1.0613448539952357,25.42252164265757,93.13523582728537,89.8804071849385,87.6217907366539,15.4754438799716,12,129591,43,0,0,0,0,1,1,0,1,114.79340782163223,-14.792204683796031,16.78265367237322,0
